0.203324,0.0567635
0.209827,0.089128
0.216329,0.145751
0.220231,0.18889
0.230636,0.135012
0.24104,0.0838306
0.248844,0.0595952
0.267052,0.0515635
0.280058,0.081252
0.287861,0.127098
0.299566,0.164868
0.306069,0.202624
0.316474,0.235
0.32948,0.256602
0.350289,0.248578
0.361994,0.2567
0.372399,0.272903
0.381503,0.313362
0.386705,0.334941
0.391908,0.351129
0.39711,0.375403
0.404913,0.391599
0.411416,0.410486
0.41922,0.426682
0.427023,0.448269
0.434827,0.461769
0.456936,0.513049
0.46474,0.53194
0.472543,0.553527
0.480347,0.572418
0.495954,0.612896
0.506358,0.626404
0.512861,0.645292
0.520665,0.653401
0.529769,0.669601
0.540173,0.683109
0.557081,0.710114
0.566185,0.723618
0.57659,0.739822
0.585694,0.753326
0.594798,0.769526
0.603902,0.785726
0.62341,0.815434
0.632514,0.828938
0.641618,0.842443
0.652023,0.861342
0.663728,0.869463
0.675434,0.88028
0.69104,0.896499
0.702746,0.90462
0.709249,0.910031
0.720954,0.918152
0.73396,0.923582
0.745665,0.929008
0.767775,0.929074
0.78078,0.929113
0.792486,0.918366
0.804191,0.90762
0.813295,0.891474
0.832803,0.856492
0.839306,0.834949
0.845809,0.818795
0.858815,0.789185
0.865318,0.770336
0.871821,0.754183
0.879624,0.735339
0.886127,0.719186
0.895231,0.684173
0.901734,0.670715
0.906936,0.646472
0.917341,0.608767
0.926445,0.568363
0.931647,0.546815
0.935549,0.525264
0.952457,0.449843
0.966763,0.379805
0.973266,0.358261
0.977168,0.334014
0.988873,0.27475
0.994075,0.253202
0.999277,0.215482
